Neighbourhood,Neighbourhood Number,BreakandEnter_2016,"Population, 2016",BreakandEnter_Rate_2016,Total income: Average amount ($)
West Humber-Clairville,1,131,"33,312",393.3,"31,771"
Mount Olive-Silverstone-Jamestown,2,34,"32,954",103.2,"26,548"
Thistletown-Beaumond Heights,3,23,"10,360",222.0,"32,815"
Rexdale-Kipling,4,16,"10,529",152.0,"34,418"
Elms-Old Rexdale,5,10,"9,456",105.8,"32,012"
Kingsview Village-The Westway,6,34,"22,000",154.5,"36,674"
Willowridge-Martingrove-Richview,7,35,"22,156",158.0,"44,177"
Humber Heights-Westmount,8,23,"10,948",210.1,"45,615"
Edenbridge-Humber Valley,9,46,"15,535",296.1,"101,551"
Princess-Rosethorn,10,33,"11,051",298.6,"99,055"
Eringate-Centennial-West Deane,11,28,"18,588",150.6,"47,002"
Markland Wood,12,19,"10,554",180.0,"62,378"
Etobicoke West Mall,13,14,"11,848",118.2,"38,255"
Islington-City Centre West,14,105,"43,965",238.8,"52,787"
Kingsway South,15,27,"9,271",291.2,"144,642"
Stonegate-Queensway,16,49,"25,051",195.6,"64,140"
Mimico,17,48,"33,964",141.3,"54,438"
New Toronto,18,42,"11,463",366.4,"44,101"
Long Branch,19,28,"10,084",277.7,"47,384"
Alderwood,20,26,"12,054",215.7,"47,709"
Humber Summit,21,41,"12,416",330.2,"30,731"
Humbermede,22,24,"15,545",154.4,"29,528"
Pelmo Park-Humberlea,23,24,"10,722",223.8,"39,003"
Black Creek,24,27,"21,737",124.2,"25,989"
Glenfield-Jane Heights,25,30,"30,491",98.4,"27,984"
Downsview-Roding-CFB,26,52,"35,052",148.4,"34,168"
York University Heights,27,98,"27,593",355.2,"29,958"
Rustic,28,17,"9,941",171.0,"31,800"
Maple Leaf,29,17,"10,111",168.1,"37,108"
Brookhaven-Amesbury,30,31,"17,757",174.6,"32,483"
Yorkdale-Glen Park,31,66,"14,804",445.8,"38,527"
Englemount-Lawrence,32,59,"22,372",263.7,"48,134"
Clanton Park,33,41,"16,472",248.9,"51,181"
Bathurst Manor,34,33,"15,873",207.9,"45,936"
Westminster-Branson,35,20,"26,274",76.1,"32,724"
Newtonbrook West,36,53,"23,831",222.4,"34,904"
Willowdale West,37,38,"16,936",224.4,"44,576"
Lansing-Westgate,38,41,"16,164",253.7,"72,371"
Bedford Park-Nortown,39,97,"23,236",417.5,"123,077"
St.Andrew-Windfields,40,57,"17,812",320.0,"100,516"
Bridle Path-Sunnybrook-York Mills,41,50,"9,266",539.6,"308,010"
Banbury-Don Mills,42,57,"27,695",205.8,"67,757"
Victoria Village,43,23,"17,510",131.4,"35,786"
Flemingdon Park,44,14,"21,933",63.8,"28,654"
Parkwoods-Donalda,45,46,"34,805",132.2,"42,516"
Pleasant View,46,32,"15,818",202.3,"36,346"
Don Valley Village,47,65,"27,051",240.3,"37,379"
Hillcrest Village,48,34,"16,934",200.8,"40,442"
Bayview Woods-Steeles,49,33,"13,154",250.9,"47,246"
Newtonbrook East,50,42,"16,097",260.9,"45,212"
Willowdale East,51,78,"50,434",154.7,"45,326"
Bayview Village,52,33,"21,396",154.2,"52,035"
Henry Farm,53,13,"15,723",82.7,"36,359"
O'Connor-Parkview,54,34,"18,675",182.1,"43,907"
Thorncliffe Park,55,24,"21,108",113.7,"28,875"
Leaside-Bennington,56,32,"16,828",190.2,"125,564"
Broadview North,57,15,"11,499",130.4,"44,557"
Old East York,58,26,"9,233",281.6,"53,315"
Danforth East York,59,43,"17,180",250.3,"51,846"
Woodbine-Lumsden,60,12,"7,865",152.6,"47,710"
Taylor-Massey,61,43,"15,683",274.2,"30,430"
East End-Danforth,62,77,"21,381",360.1,"54,324"
The Beaches,63,77,"21,567",357.0,"92,580"
Woodbine Corridor,64,49,"12,541",390.7,"55,199"
Greenwood-Coxwell,65,65,"14,417",450.9,"46,206"
Danforth,66,41,"9,666",424.2,"55,225"
Playter Estates-Danforth,67,25,"7,804",320.3,"70,831"
North Riverdale,68,41,"11,916",344.1,"73,253"
Blake-Jones,69,23,"7,727",297.7,"48,511"
South Riverdale,70,148,"27,876",530.9,"53,803"
Cabbagetown-South St.James Town,71,51,"11,669",437.1,"63,012"
Regent Park,72,25,"10,803",231.4,"34,597"
Moss Park,73,130,"20,506",634.0,"58,915"
North St.James Town,74,53,"18,615",284.7,"32,648"
Church-Yonge Corridor,75,145,"31,340",462.7,"53,583"
Bay Street Corridor,76,120,"25,797",465.2,"56,526"
Waterfront Communities-The Island,77,212,"65,913",321.6,"70,600"
Kensington-Chinatown,78,80,"17,945",445.8,"37,422"
University,79,51,"7,607",670.4,"50,757"
Palmerston-Little Italy,80,40,"13,826",289.3,"58,071"
Trinity-Bellwoods,81,46,"16,556",277.8,"50,694"
Niagara,82,71,"31,180",227.7,"70,623"
Dufferin Grove,83,27,"11,785",229.1,"40,588"
Little Portugal,84,40,"15,559",257.1,"45,737"
South Parkdale,85,71,"21,849",325.0,"35,207"
Roncesvalles,86,38,"14,974",253.8,"50,580"
High Park-Swansea,87,36,"23,925",150.5,"71,204"
High Park North,88,28,"22,162",126.3,"57,465"
Runnymede-Bloor West Village,89,23,"10,070",228.4,"71,888"
Junction Area,90,32,"14,366",222.7,"49,709"
Weston-Pellam Park,91,16,"11,098",144.2,"33,528"
Corso Italia-Davenport,92,15,"14,133",106.1,"41,717"
Dovercourt-Wallace Emerson-Junction,93,78,"36,625",213.0,"39,740"
Wychwood,94,29,"14,349",202.1,"54,460"
Annex,95,123,"30,526",402.9,"112,766"
Casa Loma,96,19,"10,968",173.2,"165,047"
Yonge-St.Clair,97,12,"12,528",95.8,"114,174"
Rosedale-Moore Park,98,59,"20,923",282.0,"207,903"
Mount Pleasant East,99,16,"16,775",95.4,"85,340"
Yonge-Eglinton,100,19,"11,817",160.8,"89,330"
Forest Hill South,101,29,"10,732",270.2,"204,521"
Forest Hill North,102,19,"12,806",148.4,"85,099"
Lawrence Park South,103,44,"15,179",289.9,"169,203"
Mount Pleasant West,104,40,"29,658",134.9,"57,039"
Lawrence Park North,105,27,"14,607",184.8,"111,730"
Humewood-Cedarvale,106,27,"14,365",188.0,"65,274"
Oakwood Village,107,22,"21,210",103.7,"39,803"
Briar Hill-Belgravia,108,31,"14,257",217.4,"34,768"
Caledonia-Fairbank,109,13,"9,955",130.6,"35,112"
Keelesdale-Eglinton West,110,14,"11,058",126.6,"33,316"
Rockcliffe-Smythe,111,38,"22,246",170.8,"34,059"
Beechborough-Greenbrook,112,11,"6,577",167.2,"33,829"
Weston,113,44,"17,992",244.6,"32,997"
Lambton Baby Point,114,9,"7,985",112.7,"76,629"
Mount Dennis,115,30,"13,593",220.7,"30,827"
Steeles,116,48,"24,623",194.9,"31,786"
L'Amoreaux,117,50,"43,993",113.7,"31,826"
Tam O'Shanter-Sullivan,118,61,"27,446",222.3,"34,200"
Wexford/Maryvale,119,76,"27,917",272.2,"35,047"
Clairlea-Birchmount,120,86,"26,984",318.7,"36,232"
Oakridge,121,58,"13,845",418.9,"26,793"
Birchcliffe-Cliffside,122,78,"22,291",349.9,"54,360"
Cliffcrest,123,57,"15,935",357.7,"44,718"
Kennedy Park,124,46,"17,123",268.6,"30,974"
Ionview,125,17,"13,641",124.6,"31,383"
Dorset Park,126,70,"25,003",280.0,"31,692"
Bendale,127,57,"29,960",190.3,"33,256"
Agincourt South-Malvern West,128,61,"23,757",256.8,"31,825"
Agincourt North,129,49,"29,113",168.3,"30,414"
Milliken,130,67,"26,572",252.1,"28,085"
Rouge,131,75,"46,496",161.3,"39,556"
Malvern,132,65,"43,794",148.4,"29,573"
Centennial Scarborough,133,19,"13,362",142.2,"54,045"
Highland Creek,134,35,"12,494",280.1,"40,972"
Morningside,135,19,"17,455",108.9,"32,291"
West Hill,136,72,"27,392",262.9,"33,323"
Woburn,137,80,"53,485",149.6,"30,878"
Eglinton East,138,65,"22,776",285.4,"30,033"
Scarborough Village,139,34,"16,724",203.3,"32,913"
Guildwood,140,18,"9,917",181.5,"53,203"
