Neighbourhood,Hood_ID,"Population, 2016",Assault_2016,Assault_Rate_2016,AutoTheft_2016,AutoTheft_Rate_2016,BreakandEnter_2016,BreakAndEnter_Rate_2016,Homicide_2016,Homicide_Rate_2016,Robbery_2016,Robbery_Rate_2016,TheftOver_2016,TheftOver_Rate_2016, Unemployed,Unemployment rate,Total - Main mode of commuting for the employed labour force aged 15 years and over in private households with a usual place of work or no fixed workplace address - 25% sample data, Public transit,PublicTransit_Rate,Total income: Average amount ($),"Postsecondary certificate, diploma or degree - 25% sample data",Postsecondary_Rate
West Humber-Clairville,001,33312,307,921.6,321,963.6,131,393.3,4,12,100,300.2,41,123.1,1705,9.6,15575,4380,28.12,31771,13425,40.30
Mount Olive-Silverstone-Jamestown,002,32954,270,819.3,43,130.5,34,103.2,1,3,102,309.5,4,12.1,1785,12.1,12600,4110,32.62,26548,10065,30.54
Thistletown-Beaumond Heights,003,10360,39,376.4,13,125.5,23,222,0,0,16,154.4,1,9.7,525,10.4,4345,1030,23.71,32815,3980,38.42
Rexdale-Kipling,004,10529,77,731.3,22,208.9,16,152,0,0,17,161.5,0,0,600,10.9,4730,1345,28.44,34418,4085,38.80
Elms-Old Rexdale,005,9456,61,645.1,16,169.2,10,105.8,0,0,18,190.4,0,0,465,10,4045,1330,32.88,32012,3155,33.37
Kingsview Village-The Westway,006,22000,125,568.2,42,190.9,34,154.5,2,9.1,24,109.1,5,22.7,1020,9.9,8835,2665,30.16,36674,8075,36.70
Willowridge-Martingrove-Richview,007,22156,102,460.4,49,221.2,35,158,0,0,57,257.3,4,18.1,920,8.5,9360,2380,25.43,44177,9935,44.84
Humber Heights-Westmount,008,10948,30,274,16,146.1,23,210.1,1,9.1,8,73.1,4,36.5,380,7.4,4345,1200,27.62,45615,4805,43.89
Edenbridge-Humber Valley,009,15535,30,193.1,29,186.7,46,296.1,0,0,7,45.1,2,12.9,510,6.1,7095,2010,28.33,101551,8175,52.62
Princess-Rosethorn,010,11051,30,271.5,24,217.2,33,298.6,1,9,32,289.6,3,27.1,355,6,4800,950,19.79,99055,6315,57.14
Eringate-Centennial-West Deane,011,18588,66,355.1,30,161.4,28,150.6,0,0,18,96.8,4,21.5,750,7.4,8665,1945,22.45,47002,9240,49.71
Markland Wood,012,10554,24,227.4,13,123.2,19,180,0,0,11,104.2,2,19,335,6.2,4665,1085,23.26,62378,5790,54.86
Etobicoke West Mall,013,11848,46,388.3,15,126.6,14,118.2,1,8.4,3,25.3,0,0,505,7.9,5550,1750,31.53,38255,5325,44.94
Islington-City Centre West,014,43965,219,498.1,135,307.1,105,238.8,0,0,41,93.3,37,84.2,1870,7.3,22055,8205,37.2,52787,24535,55.81
Kingsway South,015,9271,26,280.4,9,97.1,27,291.2,0,0,8,86.3,2,21.6,360,7.5,3735,1185,31.73,144642,5735,61.86
Stonegate-Queensway,016,25051,76,303.4,12,47.9,49,195.6,0,0,16,63.9,4,16,935,6.7,11750,3505,29.83,64140,13555,54.11
